#Note:; Temperature:25°C
#f[Hz] Re(Z/Zc) Im(Z/Zc)
327 1.87831808e-2 3.51965397e-1
327.5 1.88450449e-2 3.53367606e-1
328 1.89076696e-2 3.54773794e-1
328.5 1.89710642e-2 3.56184062e-1
329 1.90352382e-2 3.57598514e-1
329.5 1.91002017e-2 3.59017255e-1
330 1.91659646e-2 3.60440390e-1
330.5 1.92325375e-2 3.61868023e-1
331 1.92999310e-2 3.63300262e-1
331.5 1.93681562e-2 3.64737215e-1
332 1.94372245e-2 3.66178990e-1
332.5 1.95071475e-2 3.67625697e-1
333 1.95779372e-2 3.69077446e-1
333.5 1.96496059e-2 3.70534349e-1
334 1.97221663e-2 3.71996520e-1
334.5 1.97956313e-2 3.73464072e-1
335 1.98700142e-2 3.74937120e-1
335.5 1.99453289e-2 3.76415783e-1
336 2.00215893e-2 3.77900176e-1
336.5 2.00988099e-2 3.79390420e-1
337 2.01770055e-2 3.80886636e-1
337.5 2.02561914e-2 3.82388946e-1
338 2.03363831e-2 3.83897474e-1
338.5 2.04175967e-2 3.85412344e-1
339 2.04998487e-2 3.86933685e-1
339.5 2.05831559e-2 3.88461625e-1
340 2.06675358e-2 3.89996294e-1
340.5 2.07530060e-2 3.91537824e-1
341 2.08395849e-2 3.93086350e-1
341.5 2.09272913e-2 3.94642009e-1
342 2.10161443e-2 3.96204936e-1
342.5 2.11061638e-2 3.97775274e-1
343 2.11973700e-2 3.99353163e-1
343.5 2.12897837e-2 4.00938749e-1
344 2.13834264e-2 4.02532178e-1
344.5 2.14783198e-2 4.04133598e-1
345 2.15744867e-2 4.05743161e-1
345.5 2.16719500e-2 4.07361021e-1
346 2.17707336e-2 4.08987334e-1
346.5 2.18708617e-2 4.10622257e-1
347 2.19723595e-2 4.12265954e-1
347.5 2.20752525e-2 4.13918588e-1
